"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","lLimit","hLimit","year","variable"
8,322069,8.42480648556676,30.4937543322853,0,1.6913648765607,0,0,1347,1347,11.0132596584594,238.919087175133,0.0537324242046469,8.31949286932362,8.53012010180989,2000,"delay_depart"
6,368354,9.6642360338153,34.2490488066177,0,2.57341084008633,0,0,1440,1440,14.568417830971,413.131356329266,0.0564307495990654,9.55363379698053,9.77483827065006,2001,"delay_depart"
6,290527,9.2425729794477,29.2043109616647,0,2.54143522801099,0,0,1394,1394,10.1098142125838,238.892449189823,0.0541818356114349,9.13637853303301,9.34876742586238,2002,"delay_depart"
7,295105,11.4576676098338,43.6220949747902,0,1.87393099942817,0,0,1429,1429,9.11462635236559,144.330228283972,0.0803004973316193,11.3002815271232,11.6150536925444,2003,"delay_depart"
7,234056,9.71881942782924,34.9315859492054,0,2.24521752133557,0,0,1434,1434,12.2982982309215,295.739973795898,0.0722035273116984,9.57730311474156,9.86033574091692,2004,"delay_depart"
6,327212,11.6954512670684,45.6292391542224,0,3.91885624785116,0,0,1440,1440,18.3964259695532,501.178182929281,0.0797679839733335,11.5391088913613,11.8517936427755,2005,"delay_depart"
6,363838,17.957294180377,44.2476203587466,0,7.86202039357959,0,0,1435,1435,6.54060280486812,89.3416963644724,0.0733560421539082,17.8135189797069,18.101069381047,2006,"delay_depart"
7,410652,28.8375510164324,59.9523203294778,0,16.7089905698857,0,0,1437,1437,7.44399960039839,110.691233097796,0.0935554355678439,28.6541857321615,29.0209163007033,2007,"delay_depart"
7,411956,12.9886371360048,32.1108033674713,0,5.82303999805805,0,0,1440,1440,8.15279296085829,183.467552152598,0.0500294530372233,12.8905812098856,13.086693062124,2008,"delay_depart"
8,637822,7.94587988498359,28.8325733001007,0,1.93824888585775,0,0,1440,1440,16.2969213247441,586.864367472604,0.036102199126064,7.87512087493381,8.01663889503337,2009,"delay_depart"
8,710410,9.98610942976591,35.4711622557027,0,3.24206972030237,0,0,1440,1440,18.0843357573629,597.270257168885,0.042084375391119,9.90362556968745,10.0685932898444,2010,"delay_depart"
8,815795,9.61858064832464,34.7976348623909,0,3.26757293870864,0,0,1440,1440,20.2966756057068,718.349111194373,0.0385264689891659,9.54307015665438,9.69409113999491,2011,"delay_depart"
8,833976,8.21110439628958,29.8248285872205,0,2.67238174890811,0,0,1440,1440,21.6141796045325,871.455490080058,0.0326588719479131,8.14709418349596,8.27511460908319,2012,"delay_depart"
8,838161,7.22610572431788,30.2545102924272,0,1.55202384982604,0,0,1440,1440,21.2990700461398,833.465315725324,0.0330465710442429,7.16133563525862,7.29087581337714,2013,"delay_depart"
7,686652,7.57276611733455,34.4797221237859,0,1.68431084136445,0,0,1440,1440,23.4579069828782,855.127568468538,0.0416097793166346,7.49121244846928,7.65431978619981,2014,"delay_depart"
7,806761,5.93014659855893,32.9044001513882,0,0.7136157072492,0,0,1440,1440,26.5256373202343,1031.08978778639,0.03663376289408,5.85834574266835,6.00194745444951,2015,"delay_depart"
7,706435,5.33743514973069,22.8602978605881,0,0.68203783427025,0,0,1439,1439,17.7472544928066,718.878344752161,0.0271985518211278,5.28412696772963,5.39074333173175,2016,"delay_depart"
9,672237,6.44586507437109,26.4668055558604,0,1.3446152873514,0,0,1440,1440,18.9915342808169,719.340864667045,0.032280505021452,6.38259644712628,6.5091337016159,2017,"delay_depart"
9,745984,7.83824183896706,29.251166552369,0,2.55813287130438,0,0,1440,1440,22.1290654447811,895.663859970131,0.0338671330783394,7.77186347787389,7.90462020006023,2018,"delay_depart"
6,749466,7.67223863390734,27.9998257973716,0,2.39964374706042,0,0,1440,1440,19.5521777643835,754.829737424422,0.0323429300560869,7.60884765584291,7.73562961197177,2019,"delay_depart"
7,362984,5.89940052454103,25.432694001886,0,1.36704684766589,0,0,1440,1440,19.3048531902571,692.713879377807,0.042213233974789,5.81666410627948,5.98213694280258,2020,"delay_depart"
5,480733,6.47344367871563,29.2391791862072,0,1.44480182637478,0,0,1440,1440,16.9557212234979,510.765407750543,0.0421709329540315,6.39079016893127,6.55609718849998,2021,"delay_depart"
5,652418,7.44316833686379,30.3329890793751,0,2.33591858005578,0,0,1440,1440,22.573657420363,863.871392410588,0.0375536575343334,7.36956452060874,7.51677215311883,2022,"delay_depart"
4,600153,9.45713676345865,39.3074196236661,0,3.49328817823766,0,0,1440,1440,22.863919150574,747.59947365546,0.0507391916937027,9.35768977513432,9.55658375178298,2023,"delay_depart"
