"month","monthAbb","n","mean","sd","punc","se","hLimit","lLimit"
1,"Jan",1220136,10.504610961401,34.8652677686559,0.796861169574539,0.0315637710409447,10.5664748772261,10.442747045576
2,"Feb",1065699,8.58960550774655,34.5458071889181,0.833945607530832,0.0334640164938524,8.65519384934441,8.5240171661487
3,"Mar",1137663,8.50733741011179,34.2430872989174,0.841091782012775,0.0321045137176911,8.57026116768456,8.44441365253903
4,"Apr",1043192,9.23721424244052,33.5160081142212,0.826004225492527,0.0328148303206582,9.30153020265054,9.17289828223051
5,"May",1083037,8.87864957522225,32.9709839303969,0.829374250371871,0.0316818301113615,8.94074489060048,8.81655425984403
6,"Jun",997178,10.966595733159,36.7291539940676,0.802283042746631,0.0367810887762056,11.0386854299743,10.8945060363436
7,"Jul",1090671,11.3630013083689,36.0114510438711,0.788653040192689,0.0344821024838094,11.430585062349,11.2954175543887
8,"Aug",1143038,7.79601290595764,29.6102139168255,0.840361387810379,0.0276956275766208,7.85029539601691,7.74173041589837
9,"Sep",1135926,8.27618436412232,30.0450495666835,0.830620128423859,0.0281901836229457,8.33143616761344,8.2209325606312
10,"Oct",1181649,9.46792490832725,33.5106931791473,0.817818150736809,0.0308275609838827,9.52834587947621,9.4075039371783
11,"Nov",1078704,11.0688910025364,36.8309975255866,0.790827696940032,0.0354619274366414,11.1383951811221,10.9993868239506
12,"Dec",1146669,13.6539908203675,39.0059893820769,0.746229295463643,0.0364260653505615,13.7253846719129,13.5825969688222
