"depart","type","n","totalAirline","flightType"
"SBNT","N",91202,110126,"D"
"SBNT","R",9769,110126,"D"
"SBPA","C",6751,576837,"C"
"SBPA","E",17866,576837,"D"
"SBPA","G",5604,576837,"C"
"SBPA","H",1925,576837,"D"
"SBPA","I",16254,576837,"I"
"SBPA","L",2299,576837,"C"
"SBPA","N",483751,576837,"D"
"SBPA","R",42387,576837,"D"
"SBPS","C",37,80470,"C"
"SBPS","E",165,80470,"D"
"SBPS","G",75,80470,"C"
"SBPS","I",221,80470,"I"
"SBPS","L",313,80470,"C"
"SBPS","N",71450,80470,"D"
"SBPS","R",8209,80470,"D"
"SBPV","C",866,87633,"C"
"SBPV","E",833,87633,"D"
"SBPV","G",52,87633,"C"
"SBPV","I",1,87633,"I"
"SBPV","L",2005,87633,"C"
"SBPV","N",71083,87633,"D"
"SBPV","R",12793,87633,"D"
"SBRF","C",11765,598652,"C"
"SBRF","E",14667,598652,"D"
"SBRF","G",2089,598652,"C"
"SBRF","H",1,598652,"D"
"SBRF","I",5054,598652,"I"
"SBRF","L",3315,598652,"C"
"SBRF","N",521942,598652,"D"
"SBRF","R",39819,598652,"D"
"SBRJ","C",231,925002,"C"
"SBRJ","E",419063,925002,"D"
"SBRJ","G",175,925002,"C"
"SBRJ","L",64,925002,"C"
"SBRJ","N",429582,925002,"D"
"SBRJ","N/I",8500,925002,"I"
"SBRJ","R",67387,925002,"D"
"SBRP","C",61,119900,"C"
"SBRP","E",60,119900,"D"
"SBRP","G",79,119900,"C"
"SBRP","I",1,119900,"I"
"SBRP","N",49667,119900,"D"
"SBRP","R",70032,119900,"D"
"SBSG","C",304,60119,"C"
"SBSG","E",24,60119,"D"
"SBSG","G",41,60119,"C"
"SBSG","I",209,60119,"I"
"SBSG","L",949,60119,"C"
"SBSG","N",54787,60119,"D"
"SBSG","R",3805,60119,"D"
"SBSL","C",1585,138721,"C"
"SBSL","E",3133,138721,"D"
"SBSL","G",18,138721,"C"
"SBSL","I",189,138721,"I"
"SBSL","L",66,138721,"C"
"SBSL","N",122892,138721,"D"
"SBSL","R",10838,138721,"D"
"SBSN","C",10,65003,"C"
"SBSN","E",52,65003,"D"
"SBSN","G",15,65003,"C"
"SBSN","I",4,65003,"I"
"SBSN","N",44365,65003,"D"
"SBSN","R",20557,65003,"D"
"SBSP","C",5281,1664641,"C"
"SBSP","E",566161,1664641,"D"
"SBSP","G",430,1664641,"C"
"SBSP","I",4,1664641,"I"
"SBSP","L",709,1664641,"C"
"SBSP","N",936593,1664641,"D"
"SBSP","N/I",8470,1664641,"I"
"SBSP","R",146993,1664641,"D"
"SBSV","C",9609,650805,"C"
"SBSV","E",10188,650805,"D"
"SBSV","G",1268,650805,"C"
"SBSV","I",12024,650805,"I"
"SBSV","L",5547,650805,"C"
"SBSV","N",565483,650805,"D"
"SBSV","R",46686,650805,"D"
"SBTE","C",1014,96236,"C"
"SBTE","E",1270,96236,"D"
"SBTE","G",19,96236,"C"
"SBTE","L",130,96236,"C"
"SBTE","N",91274,96236,"D"
"SBTE","R",2529,96236,"D"
"SBUL","C",1370,88428,"C"
"SBUL","E",607,88428,"D"
"SBUL","G",36,88428,"C"
"SBUL","L",1,88428,"C"
"SBUL","N",47392,88428,"D"
"SBUL","R",39022,88428,"D"
"SBVT","C",3979,258953,"C"
"SBVT","E",7330,258953,"D"
"SBVT","G",3073,258953,"C"
"SBVT","I",1,258953,"I"
"SBVT","L",4629,258953,"C"
"SBVT","N",218613,258953,"D"
"SBVT","R",21328,258953,"D"
