"month","monthAbb","n","mean","sd","punc","se","hLimit","lLimit"
1,"Jan",1220174,9.75760998021593,33.998628170859,0.816390121408914,0.0307787168612528,9.81793521659465,9.6972847438372
2,"Feb",1065737,7.84793809354465,33.5777499364656,0.854848804160876,0.0325256937539907,7.91168735427519,7.78418883281412
3,"Mar",1137495,7.72621857678495,33.6349564431005,0.863248629664306,0.0315366908971384,7.78802942090551,7.66440773266438
4,"Apr",1043221,8.45987954613643,32.6238010113436,0.847476229868839,0.0319408448367141,8.5224825242854,8.39727656798746
5,"May",1083081,8.06938446893632,32.7993016908082,0.854891739398992,0.0315162203963417,8.13115519487206,8.00761374300058
6,"Jun",997213,10.0339686706852,35.5890936155796,0.827832168252921,0.0356387909214863,10.1038195021252,9.96411783924517
7,"Jul",1090714,10.5364706054933,35.1770214725452,0.811076047433149,0.0336824458346366,10.6024870594989,10.4704541514877
8,"Aug",1143064,7.03809847917526,29.5883148789636,0.864903452475102,0.027674829773494,7.09234020624498,6.98385675210554
9,"Sep",1135957,7.51104839355716,30.3699785357475,0.855943490818755,0.0284946639113533,7.56689696808181,7.4551998190325
10,"Oct",1181701,8.68212602003384,33.1399331108481,0.840910687221218,0.0304858161341562,8.74187718289665,8.62237485717103
11,"Nov",1078712,10.1207254577682,35.7224702142303,0.816517290991479,0.0343944784090542,10.1881374723564,10.0533134431799
12,"Dec",1146687,12.7980800340459,38.1336128127231,0.766209959648971,0.0356111097818247,12.8678766003403,12.7282834677515
