"arrival" ,"vars" ,"n"     ,"mean_delay"         ,"sd_delay"       ,"median_delay" ,"trimmed_mean_delay" ,"mad_delay" ,"min_delay" ,"max_delay" ,"range_delay" ,"skew_delay"     ,"kurtosis_delay" ,"se_delay"        ,"origin_icao" ,"variable"      ,"rate"               ,"punc"
"SBCJ"    ,     3 ,   9515 ,   13.4621000644192  ,62.5396437107615 ,             0 ,    3.95142243692968 ,     0      ,          0 ,       1330 ,         1330 ,16.0195245429454 ,313.913329777356 ,0.641137244603822 ,"SBCJ"        ,"delay_arrival" ,   13.4621000644192  ,0.789778827571398
"SBCM"    ,     2 ,   3474 ,   10.773387565369   ,151.458877919902 ,             0 ,    1.80755265068991 ,     0      ,          0 ,       8773 ,         8773 ,56.2738173996018 ,3251.40335730781 ,2.56968463646858  ,"SBCM"        ,"delay_arrival" ,   10.773387565369   ,0.84137129575828
"SBCP"    ,     3 ,   7738 ,    9.34067914067914 ,88.5813275786828 ,             0 ,    1.42386973843755 ,     0      ,          0 ,       7181 ,         7181 ,73.6876028101011 ,5952.18024176193 ,1.00699617779504  ,"SBCP"        ,"delay_arrival" ,    9.34067914067914 ,0.864726264726265
"SBCR"    ,     3 ,   4596 ,   10.3860689958251  ,26.8365040744769 ,             0 ,    3.42680582257622 ,     0      ,          0 ,        310 ,          310 ,3.97423007144026 ,21.3510810299778 ,0.395854813930304 ,"SBCR"        ,"delay_arrival" ,   10.3860689958251  ,0.801362337947704
"SBCT"    ,     9 , 609175 ,   14.7012772402188  ,1591.10876338076 ,             0 ,    3.21147454774925 ,     0      ,          0 ,    1052615 ,      1052615 ,561.155791761794 ,344812.906308842 ,2.0385850347511   ,"SBCT"        ,"delay_arrival" ,   14.7012772402188  ,0.807569204880101
"SBCX"    ,     3 ,   4745 ,    8.22287257991896 ,18.1962911472846 ,             0 ,    3.80050647158132 ,     0      ,          0 ,        194 ,          194 ,3.76154011128587 ,20.4497697816189 ,0.264158608801913 ,"SBCX"        ,"delay_arrival" ,    8.22287257991896 ,0.80099054479964
"SBCY"    ,     7 , 204894 ,   23.4546826819471  ,4306.59486325024 ,             0 ,    3.65540335044348 ,     0      ,          0 ,    1931092 ,      1931092 ,447.669959575054 ,200728.131712645 ,9.51413692922101  ,"SBCY"        ,"delay_arrival" ,   23.4546826819471  ,0.796892611884344
"SBCZ"    ,     4 ,   6736 ,   14.3995029512271  ,205.423667317966 ,             0 ,    2.19856366459627 ,     0      ,          0 ,      15859 ,        15859 ,71.629881572514  ,5496.92671795161 ,2.50293423690949  ,"SBCZ"        ,"delay_arrival" ,   14.3995029512271  ,0.833488661074868
"SBDN"    ,     5 ,  24195 ,   15.5059684251059  ,872.249620814191 ,             0 ,    3.55527033531205 ,     0      ,          0 ,     132517 ,       132517 ,150.170198881541 ,22782.8959704442 ,5.60761225384946  ,"SBDN"        ,"delay_arrival" ,   15.5059684251059  ,0.798442647499251
"SBEG"    ,     9 , 234414 ,  542.240740905058   ,73562.5869234386 ,             0 ,    5.51193988464952 ,     0      ,          0 ,   10519528 ,     10519528 ,142.722314516971 ,20399.5276269812 ,151.937585483205  ,"SBEG"        ,"delay_arrival" ,  542.240740905058   ,0.757395740905058
"SBEK"    ,     1 ,      1 ,   40                ,NA               ,            40 ,   40                ,     0      ,         40 ,         40 ,            0 ,NA               ,NA               ,NA                ,"SBEK"        ,"delay_arrival" ,   40                ,0
"SBFI"    ,     7 , 112142 ,   10.6662506309365  ,73.5142721006967 ,             0 ,    3.68935335482317 ,     0      ,          0 ,      14425 ,        14425 ,148.286135865877 ,27872.0393153428 ,0.219526782805223 ,"SBFI"        ,"delay_arrival" ,   10.6662506309365  ,0.798806956362135
"SBFL"    ,     9 , 266238 ,   10.816714403242   ,87.2608620842974 ,             0 ,    3.77443558907266 ,     0      ,          0 ,      14461 ,        14461 ,131.450360006324 ,20657.4791064923 ,0.169115914399871 ,"SBFL"        ,"delay_arrival" ,   10.816714403242   ,0.792048813187483
"SBFN"    ,     5 ,  27049 ,    9.20969449485783 ,102.369097440586 ,             0 ,    2.015595463138   ,     0      ,          0 ,      14399 ,        14399 ,118.178922435104 ,15675.3620539768 ,0.622433942179845 ,"SBFN"        ,"delay_arrival" ,    9.20969449485783 ,0.848230490018149
"SBFZ"    ,     8 , 393173 ,   31.7919119317595  ,11053.194422546  ,             0 ,    3.79548843063221 ,     0      ,          0 ,    6838579 ,      6838579 ,611.975891178814 ,378305.918524938 ,17.6277127968309  ,"SBFZ"        ,"delay_arrival" ,   31.7919119317595  ,0.794374909639176
"SBGL"    ,    10 , 796696 ,   14.1179769678808  ,1883.55020699778 ,             0 ,    3.53111206992986 ,     0      ,          0 ,    1578318 ,      1578318 ,780.206714799612 ,638110.435417249 ,2.11023529539949  ,"SBGL"        ,"delay_arrival" ,   14.1179769678808  ,0.797806732701621
"SBGO"    ,     8 , 221531 ,   10.6444575444543  ,104.785177147643 ,             0 ,    3.4665615087475  ,     0      ,          0 ,      14417 ,        14417 ,109.527174864811 ,14023.9368336287 ,0.22262944209451  ,"SBGO"        ,"delay_arrival" ,   10.6444575444543  ,0.802489718283264
"SBGR"    ,    10 ,1344118 ,   12.3526738189685  ,1381.46895555756 ,             0 ,    2.97874420856493 ,     0      ,          0 ,    1578264 ,      1578264 ,1134.73042415941 ,1296250.90678487 ,1.19157787671151  ,"SBGR"        ,"delay_arrival" ,   12.3526738189685  ,0.817644458208952
"SBGU"    ,     1 ,     69 ,   17.8405797101449  ,36.1783259735332 ,             0 ,    9.43859649122807 ,     0      ,          0 ,        171 ,          171 ,2.44612407552759 ,5.76605857439348 ,4.35535863553884  ,"SBGU"        ,"delay_arrival" ,   17.8405797101449  ,0.710144927536232
"SBHT"    ,     3 ,  20336 , 2261.68173807965    ,150432.592034531 ,             0 ,    2.45773805777582 ,     0      ,          0 ,   10519277 ,     10519277 ,69.086985106469  ,4812.91606217066 ,1054.89484996565  ,"SBHT"        ,"delay_arrival" , 2261.68173807965    ,0.821559840894215
"SBIH"    ,     3 ,   4604 ,   16.5881042548452  ,55.9607773514202 ,             0 ,    4.65599777344837 ,     0      ,          0 ,       1455 ,         1455 ,9.64914728495228 ,158.488307594749 ,0.82473814418108  ,"SBIH"        ,"delay_arrival" ,   16.5881042548452  ,0.785252840276231
"SBIL"    ,     5 ,  49268 ,   10.1917901655609  ,124.930031130869 ,             0 ,    3.00862937604961 ,     0      ,          0 ,      14395 ,        14395 ,102.309169798774 ,11307.1713044337 ,0.562839257986904 ,"SBIL"        ,"delay_arrival" ,   10.1917901655609  ,0.809387982885844
